epoch, iteration, loss, error
13, 4, 6117490.5, 2473.35595703125
13, 6, 4756513.0, 2180.943115234375
13, 8, 4742567.0, 2177.74365234375
13, 10, 629964672.0, 25099.099609375
13, 12, 2569307.0, 1602.9058837890625
13, 14, 4219812.5, 2054.21826171875
13, 16, 4521194.0, 2126.31005859375
13, 18, 3856916.75, 1963.903564453125
14, 0, 3121540.5, 1766.788330078125
14, 2, 3049084.75, 1746.162841796875
14, 4, 6152477.0, 2480.41845703125
14, 6, 4739599.0, 2177.062255859375
14, 8, 4758724.5, 2181.4501953125
14, 10, 453600768.0, 21297.904296875
14, 12, 2583720.0, 1607.395263671875
14, 14, 4049689.5, 2012.3839111328125
14, 16, 4557213.0, 2134.762939453125
14, 18, 3865745.75, 1966.14990234375
15, 0, 3112783.0, 1764.30810546875
15, 2, 3068921.75, 1751.833740234375
15, 4, 6115657.0, 2472.9853515625
15, 6, 4689244.0, 2165.46630859375
15, 8, 4719068.0, 2172.341796875
15, 10, 429349824.0, 20720.759765625
15, 12, 2598265.0, 1611.9134521484375
15, 14, 4061635.5, 2015.3499755859375
15, 16, 4588543.5, 2142.0888671875
15, 18, 3813001.25, 1952.690673828125
16, 0, 3093603.5, 1758.8641357421875
16, 2, 3107228.0, 1762.7330322265625
16, 4, 6089380.0, 2467.6669921875
16, 6, 4621795.5, 2149.83642578125
16, 8, 4720400.0, 2172.6484375
16, 10, 392993920.0, 19824.07421875
16, 12, 2618795.25, 1618.2691650390625
16, 14, 3946378.5, 1986.5491943359375
16, 16, 4545489.0, 2132.01513671875
16, 18, 3780756.25, 1944.4166259765625
17, 0, 3073234.0, 1753.0640869140625
17, 2, 3039940.75, 1743.54248046875
17, 4, 6110771.0, 2471.9970703125
17, 6, 4605632.0, 2146.073486328125
17, 8, 4724097.0, 2173.498779296875
17, 10, 439408576.0, 20962.076171875
17, 12, 2660220.5, 1631.0181884765625
17, 14, 3908957.0, 1977.1082763671875
17, 16, 4539093.5, 2130.5146484375
17, 18, 3747984.5, 1935.9710693359375
18, 0, 2999760.0, 1731.9814453125
18, 2, 3100741.0, 1760.89208984375
18, 4, 6043194.0, 2458.291015625
18, 6, 4563660.0, 2136.272705078125
18, 8, 4701010.5, 2168.18115234375
18, 10, 296704640.0, 17225.1171875
18, 12, 2596690.25, 1611.4249267578125
18, 14, 3913843.0, 1978.343505859375
18, 16, 4485197.0, 2117.828125
18, 18, 3725328.5, 1930.111083984375
19, 0, 3041211.5, 1743.906982421875
19, 2, 3152069.5, 1775.4068603515625
19, 4, 6088263.5, 2467.4404296875
19, 6, 4533861.0, 2129.28662109375
19, 8, 4724542.0, 2173.60107421875
19, 10, 405764608.0, 20143.599609375
19, 12, 2581019.5, 1606.5552978515625
19, 14, 3866712.75, 1966.3956298828125
19, 16, 4501052.5, 2121.568359375
19, 18, 3778186.0, 1943.755615234375
20, 0, 2981719.25, 1726.765625
20, 2, 3069391.0, 1751.9678955078125
20, 4, 5996903.5, 2448.857421875
20, 6, 4482289.5, 2117.14208984375
20, 8, 4592835.5, 2143.09033203125
20, 10, 368242336.0, 19189.640625
20, 12, 2615629.25, 1617.290771484375
20, 14, 3931725.5, 1982.8577880859375
20, 16, 4493831.0, 2119.86572265625
20, 18, 3746326.5, 1935.54296875
21, 0, 3037141.75, 1742.73974609375
21, 2, 3066922.75, 1751.2630615234375
21, 4, 5916963.0, 2432.48095703125
21, 6, 4489777.0, 2118.909423828125
21, 8, 4513119.5, 2124.41015625
21, 10, 326832416.0, 18078.505859375
21, 12, 2653931.5, 1629.08935546875
21, 14, 3994191.0, 1998.5472412109375
21, 16, 4514747.0, 2124.793212890625
21, 18, 3685783.25, 1919.8394775390625
22, 0, 3058945.0, 1748.98388671875
22, 2, 3025348.25, 1739.352783203125
22, 4, 5894490.0, 2427.857177734375
22, 6, 4440243.0, 2107.1884765625
22, 8, 4451691.0, 2109.903076171875
22, 10, 429473408.0, 20723.740234375
22, 12, 2755816.0, 1660.0650634765625
22, 14, 4070327.25, 2017.505126953125
22, 16, 4519314.0, 2125.86767578125
22, 18, 3723020.0, 1929.512939453125
23, 0, 3056110.0, 1748.173095703125
23, 2, 3038733.25, 1743.1962890625
23, 4, 5809488.0, 2410.2880859375
23, 6, 4402240.0, 2098.151611328125
23, 8, 4347576.0, 2085.083984375
23, 10, 202249184.0, 14221.4326171875
23, 12, 2694621.0, 1641.530029296875
23, 14, 4135332.25, 2033.5516357421875
23, 16, 4455536.0, 2110.81396484375
23, 18, 3695219.75, 1922.29541015625
24, 0, 3103876.5, 1761.7822265625
24, 2, 3062044.75, 1749.8699951171875
24, 4, 5789609.5, 2406.16064453125
24, 6, 4391542.0, 2095.600830078125
24, 8, 4356010.0, 2087.10546875
24, 10, 245725520.0, 15675.634765625
24, 12, 2749335.0, 1658.1119384765625
24, 14, 4201587.0, 2049.77734375
24, 16, 4480597.0, 2116.7421875
24, 18, 3696468.0, 1922.6199951171875
25, 0, 3022654.25, 1738.5782470703125
