traj_num,trans_err_gt,rot_err_gt,trans_err_inf,rot_err_gt
0,0.673430294175711,0.024980949186093677,0.7299443641783633,0.024980949186093677
1,0.1770209762217078,0.005083746192081896,0.21878635595109544,0.005083746192081896
2,0.460735316702291,0.01341550088453554,0.5300132830849538,0.01341550088453554
3,0.010643995393545897,7.56002054473901e-05,0.03999933931936508,7.56002054473901e-05
4,0.4875807764582426,0.017646289205781426,0.5456409840893212,0.017646289205781426
5,0.12492203231502597,0.01583922979420014,0.1883843618043181,0.01583922979420014
6,0.6873781163255025,0.02987895723060686,0.748321188764366,0.02987895723060686
7,1.441654652044164,0.02173096239739368,1.3990686472889724,0.02173096239739368
8,0.7379410826585554,0.012723541177109733,0.749372283390575,0.012723541177109733
9,1.1510583880147471,0.014280866044765231,1.2258607791486058,0.014280866044765231
