epoch, iteration, loss, error
0, 0, 6673929.0, 2583.394775390625
0, 2, 5220660.5, 2284.87646484375
0, 4, 8235163.0, 2869.697265625
0, 6, 5552597.0, 2356.39501953125
0, 8, 6791140.0, 2605.981689453125
0, 10, 4414195.0, 2100.99853515625
0, 12, 4837109.0, 2199.3427734375
0, 14, 5104360.0, 2259.282958984375
0, 16, 38896436.0, 6236.701171875
0, 18, 8746058.0, 2957.373779296875
1, 0, 6337396.0, 2517.41845703125
1, 2, 5303576.0, 2302.949462890625
1, 4, 18358114.0, 4284.63671875
1, 6, 5525686.0, 2350.677734375
1, 8, 6842459.5, 2615.809326171875
1, 10, 4704512.0, 2168.98876953125
1, 12, 5200947.0, 2280.55859375
1, 14, 5579719.0, 2362.142822265625
1, 16, 29216984.0, 5405.27392578125
1, 18, 9307544.0, 3050.826904296875
2, 0, 6343823.5, 2518.694580078125
2, 2, 5391716.0, 2322.0068359375
2, 4, 14379616.0, 3792.04638671875
2, 6, 5566847.0, 2359.416748046875
2, 8, 7058443.5, 2656.773193359375
2, 10, 4822554.0, 2196.031494140625
2, 12, 5227443.0, 2286.360107421875
2, 14, 5786211.0, 2405.454345703125
2, 16, 40937888.0, 6398.2724609375
2, 18, 9586164.0, 3096.153076171875
3, 0, 6517955.0, 2553.02880859375
3, 2, 5374698.0, 2318.33935546875
3, 4, 10396705.0, 3224.39208984375
3, 6, 5385459.0, 2320.6591796875
3, 8, 6964638.0, 2639.06005859375
3, 10, 4770687.0, 2184.190185546875
3, 12, 5246072.0, 2290.4306640625
3, 14, 5753624.0, 2398.671142578125
3, 16, 32223296.0, 5676.556640625
3, 18, 9434250.0, 3071.5224609375
4, 0, 6326897.0, 2515.332275390625
4, 2, 5218410.5, 2284.384033203125
4, 4, 9298981.0, 3049.423095703125
4, 6, 5315600.5, 2305.558837890625
4, 8, 6738525.5, 2595.866943359375
4, 10, 4490119.0, 2118.989990234375
4, 12, 5004501.0, 2237.07421875
4, 14, 5306981.0, 2303.6884765625
4, 16, 15708890.0, 3963.444091796875
4, 18, 8844204.0, 2973.92041015625
5, 0, 5941212.0, 2437.4599609375
5, 2, 5000142.0, 2236.099609375
5, 4, 7507420.0, 2739.967041015625
5, 6, 5333038.5, 2309.33740234375
5, 8, 6622037.5, 2573.33203125
5, 10, 4304786.5, 2074.7978515625
5, 12, 4804175.5, 2191.843017578125
5, 14, 4975065.0, 2230.4853515625
5, 16, 10036048.0, 3167.97216796875
5, 18, 8621636.0, 2936.262451171875
6, 0, 5879112.0, 2424.68798828125
6, 2, 4957388.0, 2226.519287109375
