epoch, iteration, loss, error
12, 80, 61.78926467895508, 7.86061429977417
12, 160, 102.1739501953125, 10.108112335205078
12, 240, 98.82099151611328, 9.940874099731445
12, 320, 81.97207641601562, 9.05384349822998
12, 400, 70.3371353149414, 8.386723518371582
12, 480, 94.38526916503906, 9.715208053588867
12, 560, 80.59425354003906, 8.97743034362793
12, 640, 86.12931823730469, 9.280587196350098
12, 720, 55.35939407348633, 7.440389156341553
12, 800, 90.54149627685547, 9.515329360961914
13, 0, 67.0271224975586, 8.187009811401367
13, 80, 86.04561614990234, 9.276077270507812
13, 160, 61.48166275024414, 7.841024398803711
13, 240, 87.90279388427734, 9.375649452209473
13, 320, 84.8034896850586, 9.208881378173828
13, 400, 62.99311828613281, 7.9368205070495605
13, 480, 117.76155853271484, 10.851800918579102
13, 560, 38.310482025146484, 6.189546585083008
13, 640, 56.550010681152344, 7.519974231719971
13, 720, 86.76795959472656, 9.314931869506836
13, 800, 78.92530822753906, 8.883991241455078
14, 0, 52.82515335083008, 7.268090724945068
14, 80, 81.5869140625, 9.032546997070312
14, 160, 52.82196807861328, 7.267872333526611
14, 240, 88.30708312988281, 9.397185325622559
14, 320, 57.034095764160156, 7.552092552185059
14, 400, 80.9923324584961, 8.999573707580566
14, 480, 71.90604400634766, 8.479743003845215
14, 560, 62.70946502685547, 7.918930530548096
14, 640, 54.202720642089844, 7.362249374389648
14, 720, 58.674739837646484, 7.659943580627441
14, 800, 74.58465576171875, 8.63624095916748
15, 0, 53.68999481201172, 7.327345848083496
15, 80, 48.16181945800781, 6.939871788024902
15, 160, 59.26026153564453, 7.698069095611572
15, 240, 64.4546890258789, 8.02836799621582
15, 320, 74.24866485595703, 8.616765975952148
15, 400, 64.95096588134766, 8.05921745300293
15, 480, 77.92180633544922, 8.827332496643066
15, 560, 40.86121368408203, 6.39227819442749
15, 640, 83.20765686035156, 9.12182331085205
15, 720, 58.26879119873047, 7.633399486541748
15, 800, 68.15628051757812, 8.255681991577148
16, 0, 43.133052825927734, 6.567575931549072
16, 80, 70.18425750732422, 8.377604484558105
16, 160, 65.00724792480469, 8.06270694732666
16, 240, 74.64615631103516, 8.639801025390625
16, 320, 52.3256950378418, 7.2336506843566895
16, 400, 68.0548324584961, 8.24953556060791
16, 480, 105.19917297363281, 10.256665229797363
16, 560, 72.39778900146484, 8.508688926696777
16, 640, 99.63484954833984, 9.98172664642334
16, 720, 80.75371551513672, 8.986307144165039
16, 800, 81.45723724365234, 9.02536678314209
17, 0, 74.77427673339844, 8.647211074829102
17, 80, 65.94462585449219, 8.120630264282227
17, 160, 53.60575485229492, 7.321595668792725
17, 240, 58.141109466552734, 7.6250319480896
17, 320, 56.118614196777344, 7.491236209869385
17, 400, 54.501708984375, 7.382526874542236
17, 480, 59.236610412597656, 7.696532726287842
17, 560, 52.764041900634766, 7.263886451721191
17, 640, 41.100868225097656, 6.4109954833984375
17, 720, 61.82780456542969, 7.863064765930176
17, 800, 87.8049087524414, 9.370428085327148
18, 0, 57.12062072753906, 7.557818412780762
18, 80, 81.72388458251953, 9.040125846862793
18, 160, 62.665557861328125, 7.916158676147461
18, 240, 30.55978775024414, 5.528090476989746
18, 320, 48.61993408203125, 6.972799777984619
18, 400, 54.566802978515625, 7.386934280395508
18, 480, 83.5550537109375, 9.14084529876709
18, 560, 74.94560241699219, 8.657112121582031
18, 640, 86.29681396484375, 9.289608001708984
18, 720, 62.171058654785156, 7.884861946105957
18, 800, 48.234378814697266, 6.94509744644165
19, 0, 63.58455276489258, 7.973992824554443
19, 80, 50.950767517089844, 7.137980937957764
19, 160, 52.6701774597168, 7.257422924041748
19, 240, 77.23904418945312, 8.78857421875
19, 320, 70.80974578857422, 8.414852142333984
19, 400, 71.74504852294922, 8.470244407653809
19, 480, 40.21712112426758, 6.3416972160339355
19, 560, 56.60148239135742, 7.523396015167236
19, 640, 59.64876937866211, 7.72326135635376
19, 720, 44.355857849121094, 6.6600189208984375
19, 800, 50.64784240722656, 7.116729259490967
20, 0, 78.54241943359375, 8.86241626739502
20, 80, 50.09299087524414, 7.077640056610107
20, 160, 61.35578155517578, 7.832993507385254
20, 240, 51.89867401123047, 7.204072952270508
20, 320, 63.66621017456055, 7.9791107177734375
20, 400, 65.46778869628906, 8.091217041015625
20, 480, 55.512935638427734, 7.450700759887695
20, 560, 58.550167083740234, 7.65180778503418
20, 640, 65.91818237304688, 8.119001388549805
20, 720, 60.40336608886719, 7.7719597816467285
20, 800, 80.8695297241211, 8.992748260498047
21, 0, 51.77656173706055, 7.195593357086182
21, 80, 60.805477142333984, 7.797786712646484
21, 160, 50.231544494628906, 7.087421417236328
21, 240, 85.54119873046875, 9.248848915100098
21, 320, 51.374847412109375, 7.1676249504089355
21, 400, 62.95017623901367, 7.934114933013916
21, 480, 27.751922607421875, 5.268009185791016
21, 560, 61.120635986328125, 7.817968845367432
21, 640, 44.513221740722656, 6.671823024749756
21, 720, 50.83435821533203, 7.129822254180908
21, 800, 47.639835357666016, 6.902161598205566
22, 0, 58.572689056396484, 7.653279781341553
22, 80, 47.77195358276367, 6.9117255210876465
22, 160, 53.705955505371094, 7.328434944152832
22, 240, 54.73441696166992, 7.398270606994629
22, 320, 83.84264373779297, 9.156562805175781
22, 400, 56.780914306640625, 7.535310745239258
22, 480, 50.03437805175781, 7.073498725891113
22, 560, 46.86460876464844, 6.8457722663879395
22, 640, 47.467185974121094, 6.88964319229126
22, 720, 63.33580017089844, 7.95837926864624
22, 800, 72.3663330078125, 8.506839752197266
23, 0, 59.944854736328125, 7.742406368255615
23, 80, 56.47844696044922, 7.515214443206787
23, 160, 56.672607421875, 7.528121471405029
23, 240, 50.77315139770508, 7.125528335571289
23, 320, 55.98802185058594, 7.482514381408691
23, 400, 56.02640914916992, 7.485079288482666
23, 480, 41.173213958740234, 6.416635513305664
23, 560, 74.0401382446289, 8.604658126831055
23, 640, 60.97481155395508, 7.8086371421813965
23, 720, 63.60783767700195, 7.975452423095703
23, 800, 82.57267761230469, 9.086950302124023
24, 0, 48.50935745239258, 6.9648661613464355
24, 80, 56.46013259887695, 7.51399564743042
24, 160, 47.75560760498047, 6.910542964935303
24, 240, 41.24726104736328, 6.422402858734131
24, 320, 59.236114501953125, 7.696499824523926
24, 400, 45.301204681396484, 6.730617046356201
24, 480, 36.73122024536133, 6.060628414154053
24, 560, 30.25600814819336, 5.500545978546143
24, 640, 73.61979675292969, 8.58019733428955
24, 720, 52.05181121826172, 7.214694023132324
24, 800, 45.225215911865234, 6.724969387054443
25, 0, 56.25050354003906, 7.500033855438232
25, 80, 36.22053146362305, 6.0183491706848145
25, 160, 50.04557800292969, 7.074289321899414
25, 240, 67.16747283935547, 8.195576667785645
25, 320, 76.43245697021484, 8.742565155029297
25, 400, 65.49119567871094, 8.092662811279297
25, 480, 63.61231994628906, 7.975733280181885
25, 560, 39.43107986450195, 6.279417037963867
25, 640, 54.56201171875, 7.38661003112793
25, 720, 49.573509216308594, 7.0408453941345215
25, 800, 63.96501159667969, 7.997812747955322
26, 0, 48.8576545715332, 6.989825248718262
26, 80, 48.827823638916016, 6.987690448760986
26, 160, 55.55842590332031, 7.453752517700195
26, 240, 63.23499298095703, 7.952043056488037
26, 320, 51.614967346191406, 7.184355735778809
